-0.134642  0
-0.193796  0.0591542
-0.0768997  0.121783
-0.0471361  0.0911124
-0.059481  0.0716469
-0.0204109  0.0703467
0.00948297  0.0665462
0.0387892  0.0646541
0.0360365  0.057086
0.0336941  0.051113
0.0231196  0.0474273
0.0182864  0.0435639
0.0331794  0.042751
0.0298779  0.0397172
0.0173061  0.0390535
0.00547309  0.0383999
0.00369582  0.0361142
0.00837508  0.0343688
0.00822111  0.03251
0.00773274  0.0308455
0.0110867  0.029531
0.0122282  0.0281799
0.0211951  0.0283806
0.0241824  0.0273361
0.0195264  0.02663
0.0195066  0.0255853
0.0220742  0.024753
0.0154906  0.0247445
0.0215062  0.0246222
0.0142632  0.0248656
0.0184798  0.0244169
0.0151877  0.0238697
0.0230538  0.0244358
0.0176846  0.0243066
0.0218344  0.023964
0.0252319  0.0235353
0.0241595  0.0229155
0.0206643  0.0225765
0.0260164  0.0226319
0.0244278  0.022116
0.0194249  0.0221424
0.0150513  0.022047
0.0103982  0.0220253
0.0166072  0.0223967
0.0029614  0.0257978
0.00665196  0.0254992
0.00995539  0.0251685
0.00980203  0.0246391
0.00893121  0.0241467
0.00190575  0.0246799
0.00232425  0.0241948
-0.0026379  0.0242383
0.00139974  0.024117
0.000286691  0.0236923
-0.000688289  0.023278
-0.0055416  0.0233681
-0.00156175  0.0232969
-0.000111147  0.0229376
0.000392874  0.0225511
-0.00413922  0.0226305
-0.00249268  0.0223173
-0.00194124  0.0219613
-0.0121526  0.023901
-0.0109249  0.0235566
-0.00721429  0.0234864
-0.00596019  0.0231617
-0.00813256  0.0229166
-0.00763541  0.0225826
-0.00539072  0.0223658
-0.00571755  0.0220464
0.000450458  0.022592
0.00228941  0.0223518
0.000594815  0.0221085
-0.000622407  0.0218416
0.000424577  0.0215738
0.00102099  0.0212964
0.00172212  0.0210297
0.003057  0.0208012
0.00486193  0.0206154
0.00427345  0.0203646
0.00340824  0.0201302
0.00556531  0.0199999
0.00865687  0.0199979
0.00598567  0.0199381
0.0058902  0.0197024
0.0082919  0.0196195
0.00887839  0.0194015
0.0109814  0.0192947
0.0126336  0.0191481
0.0147689  0.0190542
0.0174963  0.01904
0.0184351  0.0188553
0.0197507  0.0186978
0.0209257  0.0185351
0.0179612  0.018577
0.0134568  0.0189263
0.0110668  0.018882
0.011212  0.0186889
0.011495  0.0185014
0.0060654  0.0191033
