   0.0733333   0.0043529 0.000335421
        0.22   0.0329356  0.00108531
    0.366667    0.087459  0.00171144
    0.513333    0.159871  0.00197318
        0.66    0.247047  0.00247947
    0.806667    0.335331  0.00314384
    0.953333    0.408205  0.00393919
         1.1    0.479487  0.00341222
     1.24667    0.530671  0.00456577
     1.39333    0.550473  0.00511282
        1.54    0.551162  0.00341956
     1.68667    0.535991  0.00339344
     1.83333    0.502082  0.00488414
        1.98    0.453996  0.00396584
     2.12667    0.409356   0.0045757
     2.27333    0.348198  0.00429448
        2.42    0.285922  0.00387883
     2.56667    0.232535  0.00339969
     2.71333      0.1777  0.00242572
        2.86    0.140002  0.00258516
     3.00667    0.106831  0.00152522
     3.15333   0.0783696  0.00192075
         3.3   0.0555003  0.00134009
     3.44667   0.0372364  0.00125418
     3.59333   0.0255145 0.000976316
        3.74   0.0164978 0.000887782
     3.88667    0.010273 0.000596071
     4.03333  0.00625158 0.000590322
        4.18  0.00381944 0.000547712
     4.32667  0.00230745 0.000266528
