#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.41407    -5.44645  0.00415433
         153    -5.42194    -5.44629  0.00413027
         154    -5.43679    -5.44623  0.00410391
         155    -5.49298    -5.44653   0.0040885
         156    -5.46808    -5.44667  0.00406462
         157    -5.46222    -5.44677  0.00403994
         158    -5.42127    -5.44661  0.00401759
         159    -5.40027    -5.44632  0.00400288
         160    -5.39025    -5.44597  0.00399317
         161    -5.37887    -5.44555  0.00399006
         162    -5.38538    -5.44518  0.00398268
         163    -5.46631    -5.44531  0.00396035
         164    -5.45388    -5.44536  0.00393655
         165    -5.43707    -5.44531  0.00391301
         166    -5.49963    -5.44564   0.0039031
         167    -5.42863    -5.44554  0.00388106
         168    -5.38537    -5.44518  0.00387445
         169    -5.45502    -5.44524  0.00385196
         170    -5.44669    -5.44524  0.00382931
         171     -5.4882     -5.4455  0.00381515
         172    -5.47359    -5.44566  0.00379646
         173    -5.42499    -5.44554   0.0037764
         174    -5.43619    -5.44549  0.00375507
         175    -5.44336    -5.44547  0.00373364
         176    -5.45841    -5.44555  0.00371315
         177    -5.36687     -5.4451  0.00371868
         178    -5.44547     -5.4451  0.00369779
         179     -5.4371    -5.44506   0.0036774
         180    -5.44634    -5.44507  0.00365698
         181    -5.53009    -5.44554  0.00366682
         182    -5.41507    -5.44537  0.00365049
         183    -5.40548    -5.44515  0.00363704
         184    -5.47265     -5.4453  0.00362034
         185    -5.44854    -5.44532  0.00360082
         186    -5.44595    -5.44532  0.00358146
         187    -5.42559    -5.44522  0.00356386
         188    -5.39092    -5.44493  0.00355659
         189    -5.43881    -5.44489  0.00353792
         190    -5.50338     -5.4452  0.00353266
         191    -5.40321    -5.44498    0.003521
         192    -5.46914    -5.44511  0.00350491
         193    -5.48109    -5.44529   0.0034917
         194    -5.41896    -5.44516  0.00347634
         195    -5.42292    -5.44504  0.00346039
         196    -5.42545    -5.44495  0.00344417
         197    -5.42697    -5.44485   0.0034279
         198    -5.45712    -5.44492  0.00341115
         199    -5.45949    -5.44499  0.00339479
         200     -5.4309    -5.44492  0.00337855
