#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         100     1.49771     1.47183   0.0273205
         101     1.40773     1.47119   0.0270574
         102     1.80564     1.47447     0.02699
         103     1.22911     1.47209   0.0268329
         104     1.05153     1.46804   0.0268779
         105     1.75199     1.47075   0.0267576
         106     1.54517     1.47145   0.0265144
         107     1.57119     1.47238    0.026283
         108     1.37929     1.47152   0.0260537
         109     1.42157     1.47106   0.0258187
         110     1.61256     1.47235    0.025616
         111     1.54217     1.47298    0.025393
         112     1.36459     1.47201   0.0251847
         113     1.39407     1.47132   0.0249713
         114     1.57202      1.4722   0.0247678
         115     1.61414     1.47344   0.0245832
         116     1.42699     1.47304   0.0243745
         117     1.62953     1.47438   0.0242029
         118     1.25042     1.47248   0.0240721
         119     1.56649     1.47327   0.0238827
         120     1.42644     1.47288   0.0236869
         121     1.88131     1.47625   0.0237304
         122     1.57824     1.47709   0.0235506
         123     1.52494     1.47748   0.0233624
         124      1.2797     1.47588   0.0232284
         125     1.66441     1.47739   0.0230914
         126     1.59087     1.47829   0.0229257
         127     1.92732     1.48183   0.0230162
         128     1.56388     1.48247   0.0228454
         129     1.11674     1.47963   0.0228435
         130     1.09451     1.47667   0.0228591
         131     1.65689     1.47805   0.0227259
         132     1.56411      1.4787   0.0225631
         133     1.41179      1.4782   0.0223991
         134     1.38215     1.47748   0.0222434
         135      1.2466     1.47577   0.0221443
         136     1.57483      1.4765   0.0219934
         137     1.11901     1.47389   0.0219871
         138     1.65079     1.47517   0.0218652
         139     1.30559     1.47395   0.0217419
         140      1.3752     1.47324    0.021598
         141     1.38483     1.47262   0.0214539
         142     1.54948     1.47316   0.0213097
         143     1.36232     1.47238   0.0211747
         144     1.16031     1.47022   0.0211383
         145     1.52799     1.47061   0.0209963
         146     1.92197     1.47371   0.0210788
         147     1.47084     1.47369   0.0209354
         148     1.21883     1.47196   0.0208647
         149     1.33708     1.47106   0.0207443
         150     1.23323     1.46947   0.0206665
         151     1.51859      1.4698   0.0205322
         152     1.54026     1.47026   0.0204023
         153     1.66495     1.47153   0.0203086
         154     1.69444     1.47298   0.0202283
         155     1.43331     1.47273   0.0200994
         156     1.39554     1.47223   0.0199766
         157     1.45506     1.47212   0.0198497
         158     1.64408     1.47321   0.0197539
         159      1.7345     1.47485   0.0196979
         160     1.72928     1.47644   0.0196389
         161     1.61639     1.47731   0.0195361
         162     1.69401     1.47865   0.0194612
         163     1.60219     1.47941   0.0193566
         164     1.64641     1.48043   0.0192653
         165     1.62027     1.48127   0.0191672
         166      1.3282     1.48035   0.0190739
         167     1.73224     1.48186   0.0190192
         168     1.89618     1.48433   0.0190653
         169     1.43615     1.48404   0.0189546
         170       1.409      1.4836   0.0188482
         171     1.37407     1.48296   0.0187489
         172      1.5584      1.4834    0.018645
         173     1.73277     1.48484   0.0185929
         174     1.62721     1.48566    0.018504
         175       1.428     1.48533   0.0184012
         176     1.59991     1.48598   0.0183082
         177     1.84989     1.48804   0.0183198
         178     1.44408     1.48779   0.0182185
         179     1.48307     1.48776   0.0181168
         180     1.57019     1.48822   0.0180219
         181     1.09878     1.48607   0.0180503
         182     1.58576     1.48662   0.0179595
         183     1.57492      1.4871   0.0178678
         184     1.36071     1.48641   0.0177839
         185     1.63269      1.4872   0.0177053
         186     1.58614     1.48773   0.0176181
         187     1.59678     1.48832   0.0175336
         188     1.71883     1.48954   0.0174831
         189      1.6689     1.49049   0.0174164
         190     1.42444     1.49015   0.0173282
         191      1.6634     1.49105   0.0172612
         192     1.25738     1.48984   0.0172141
         193     1.46669     1.48972   0.0171253
         194     1.65662     1.49058   0.0170587
         195     1.64446     1.49137   0.0169894
         196     1.79102     1.49289   0.0169714
         197      1.5875     1.49337    0.016892
         198     1.30086      1.4924   0.0168347
         199     1.34819     1.49168   0.0167657
         200     1.70812     1.49276   0.0167167
