#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   -0.347512   -0.347512           0
           2     1.46045     0.55647    0.639211
           3     1.68036      0.9311    0.524558
           4     1.10711    0.975103     0.39526
           5     1.30481     1.04104    0.321662
           6     1.36939     1.09577    0.272667
           7     1.29062     1.12361    0.235131
           8     1.51095     1.17202    0.210666
           9     1.38517     1.19571    0.188585
          10     2.00595     1.27673    0.186321
          11     1.76405     1.32103     0.17457
          12     1.67078     1.35018    0.162437
          13     1.37764     1.35229    0.149956
          14     1.56228     1.36729    0.139993
          15     1.64886     1.38606    0.131913
          16     1.73758     1.40803    0.125484
          17     1.57715     1.41798    0.118496
          18     1.28042     1.41034    0.112159
          19     1.55462     1.41793    0.106513
          20     1.60268     1.42717    0.101587
          21     1.49363     1.43033    0.096799
          22     1.32033     1.42533   0.0925281
          23     1.57407      1.4318   0.0887309
          24     1.82302      1.4481   0.0865181
          25     1.38232     1.44547   0.0830974
          26     1.49044      1.4472   0.0799193
          27     1.39509     1.44527   0.0769827
          28     1.35422     1.44202   0.0743019
          29     1.21595     1.43422   0.0721476
          30     1.57696     1.43898   0.0698994
          31     1.62966     1.44513   0.0679146
          32     1.67804     1.45241   0.0661812
          33     1.71097     1.46024   0.0646378
          34     1.35976     1.45729   0.0628042
          35     1.26437     1.45178   0.0612512
          36     1.67633     1.45801   0.0598665
          37     1.03204      1.4465   0.0593452
          38      1.6838     1.45275   0.0581111
          39     1.33739     1.44979   0.0566963
          40     1.50368     1.45114   0.0552949
          41     1.13141     1.44334   0.0544933
          42     1.50239     1.44474    0.053214
          43     1.35576     1.44267   0.0520167
          44     1.67666     1.44799   0.0511056
          45     1.32817     1.44533   0.0500392
          46     1.28075     1.44175   0.0490792
          47     1.35799     1.43997   0.0480673
          48      1.4944      1.4411   0.0470793
          49     1.23258     1.43685   0.0463104
          50     1.31664     1.43444   0.0454465
          51     2.04824     1.44648   0.0461215
          52     1.84844     1.45421   0.0458778
          53     1.49689     1.45501   0.0450192
          54     1.67626     1.45911   0.0443716
          55     1.87506     1.46667   0.0442046
          56     1.94676     1.47525   0.0442388
          57     1.27717     1.47177   0.0435989
          58     1.56197     1.47333   0.0428749
          59     1.48679     1.47356   0.0421489
          60      1.3492     1.47148   0.0414973
          61     1.46063      1.4713   0.0408174
          62     1.53277      1.4723   0.0401711
          63     1.50815     1.47287   0.0395375
          64       1.416     1.47198   0.0389297
          65     1.30704     1.46944   0.0384134
          66     1.79844     1.47442   0.0381534
          67     1.13943     1.46942   0.0379102
          68     1.52642     1.47026   0.0373619
          69     1.75136     1.47434   0.0370419
          70     1.66821     1.47711   0.0366161
          71     1.43907     1.47657   0.0361043
          72       1.501     1.47691   0.0356045
          73     1.34579     1.47511    0.035162
          74     1.17786      1.4711   0.0349155
          75     1.15996     1.46695   0.0346956
          76     1.53531     1.46785   0.0342507
          77     1.38688      1.4668    0.033822
          78     1.51134     1.46737   0.0333932
          79      1.4576     1.46724   0.0329708
          80     1.14956     1.46327   0.0327969
          81     1.31784     1.46148   0.0324411
          82     1.61945      1.4634   0.0321026
          83     1.46159     1.46338   0.0317159
          84     1.52678     1.46414   0.0313473
          85     1.59718      1.4657   0.0310175
          86      1.6475     1.46782   0.0307288
          87     1.27937     1.46565   0.0304518
          88     1.39918     1.46489   0.0301152
          89     1.91485     1.46995   0.0301982
          90     1.61345     1.47154   0.0299047
          91     1.15305     1.46804   0.0297802
          92     1.48475     1.46823   0.0294571
          93     1.67659     1.47047   0.0292254
          94      1.5213     1.47101   0.0289195
          95     1.44443     1.47073   0.0286164
          96     1.40778     1.47007   0.0283259
          97     1.38845     1.46923   0.0280463
          98     1.71925     1.47178   0.0278759
          99     1.45037     1.47157   0.0275952
