#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152    -3.79153    -3.79147  0.00017969
         153     -3.7902    -3.79146 0.000178706
         154    -3.78944    -3.79145 0.000178029
         155    -3.78991    -3.79144 0.000177159
         156     -3.7934    -3.79145 0.000176466
         157    -3.78845    -3.79143 0.000176376
         158    -3.79014    -3.79143 0.000175449
         159    -3.78628    -3.79139 0.000177303
         160    -3.78703    -3.79137 0.000178278
         161    -3.78764    -3.79134 0.000178667
         162    -3.79203    -3.79135 0.000177614
         163    -3.79175    -3.79135 0.000176541
         164    -3.79088    -3.79135 0.000175488
         165    -3.79005    -3.79134   0.0001746
         166    -3.78979    -3.79133 0.000173797
         167    -3.78849    -3.79131 0.000173584
         168    -3.78926     -3.7913 0.000172982
         169    -3.79136     -3.7913 0.000171959
         170    -3.79207    -3.79131 0.000171007
         171    -3.79344    -3.79132  0.00017046
         172    -3.79141    -3.79132  0.00016947
         173    -3.78771     -3.7913 0.000169768
         174    -3.78858    -3.79128 0.000169508
         175    -3.78983    -3.79127 0.000168742
         176    -3.79217    -3.79128  0.00016786
         177    -3.78914    -3.79127 0.000167344
         178     -3.7893    -3.79126 0.000166768
         179     -3.7915    -3.79126 0.000165842
         180     -3.7922    -3.79126 0.000165002
         181     -3.7931    -3.79127 0.000164402
         182     -3.7899    -3.79126 0.000163671
         183    -3.79447    -3.79128 0.000163713
         184    -3.79063    -3.79128 0.000162861
         185     -3.7902    -3.79127 0.000162086
         186    -3.78837    -3.79126 0.000161963
         187    -3.79036    -3.79125 0.000161168
         188    -3.78748    -3.79123 0.000161552
         189    -3.79036    -3.79123 0.000160763
         190    -3.79009    -3.79122 0.000160029
         191    -3.79276    -3.79123 0.000159395
         192     -3.7925    -3.79124 0.000158703
         193    -3.79023    -3.79123 0.000157966
         194    -3.79137    -3.79123 0.000157153
         195    -3.79035    -3.79123 0.000156412
         196    -3.79323    -3.79124 0.000155948
         197    -3.79471    -3.79126  0.00015615
         198    -3.79275    -3.79126 0.000155544
         199    -3.79317    -3.79127 0.000155056
         200    -3.79593     -3.7913 0.000156019
