#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.06407     1.10258  0.00255781
         169     1.10911     1.10262  0.00254297
         170     1.10308     1.10263  0.00252801
         171     1.12984     1.10278  0.00251824
         172     1.12145     1.10289  0.00250593
         173     1.09152     1.10283  0.00249231
         174      1.0984      1.1028  0.00247812
         175     1.10235      1.1028  0.00246396
         176     1.11083     1.10285  0.00245038
         177     1.05182     1.10256  0.00245343
         178     1.10411     1.10257  0.00243967
         179     1.09707     1.10254  0.00242623
         180     1.10276     1.10254  0.00241275
         181       1.158     1.10284   0.0024188
         182     1.08345     1.10274  0.00240786
         183       1.074     1.10258  0.00239981
         184     1.12135     1.10268  0.00238894
         185     1.10556      1.1027  0.00237607
         186     1.10505     1.10271  0.00236333
         187     1.09016     1.10264  0.00235165
         188     1.06896     1.10246  0.00234596
         189     1.09897     1.10244  0.00233362
         190     1.14219     1.10265  0.00233069
         191     1.07363      1.1025  0.00232344
         192     1.11776     1.10258  0.00231269
         193     1.12724     1.10271  0.00230424
         194     1.08506     1.10262  0.00229416
         195     1.08838     1.10255  0.00228355
         196     1.08815     1.10247  0.00227308
         197     1.08817      1.1024   0.0022627
         198     1.10958     1.10244  0.00225157
         199     1.11088     1.10248  0.00224065
         200     1.08998     1.10242  0.00223032
