#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.1548      1.1548           0
           2     1.10008     1.12744    0.019349
           3     1.10306     1.11931   0.0145057
           4     1.11273     1.11767   0.0109723
           5     1.10083      1.1143  0.00928043
           6     1.08162     1.10885  0.00919426
           7     1.11217     1.10933  0.00789303
           8     1.11877     1.11051  0.00699403
           9     1.09315     1.10858   0.0064774
          10     1.10678      1.1084  0.00583215
