#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.7322      1.7322           0
           2     1.65011     1.69116   0.0290234
           3     1.65459     1.67897   0.0217585
           4     1.66909      1.6765   0.0164584
           5     1.65124     1.67145   0.0139206
           6     1.62243     1.66328   0.0137914
           7     1.66826     1.66399   0.0118395
           8     1.67815     1.66576    0.010491
           9     1.63972     1.66287  0.00971611
          10     1.66017      1.6626  0.00874822
