#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.53831    -5.53831           0
           2    -5.45722    -5.49776   0.0286674
           3    -5.46155    -5.48569   0.0215036
           4    -5.47622    -5.48332   0.0162576
           5    -5.45916    -5.47849   0.0137058
           6     -5.4302    -5.47044   0.0135808
           7    -5.47643     -5.4713   0.0116676
           8    -5.48572     -5.4731   0.0103476
           9    -5.44641    -5.47014  0.00961341
          10    -5.46886    -5.47001  0.00865291
