#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.42204    -1.42204           0
           2     -0.8498    -1.13592    0.202319
           3   -0.636316   -0.969387    0.191525
           4   -0.534455   -0.860654    0.171757
           5   -0.437704   -0.776064    0.156859
           6    -0.43332    -0.71894    0.140734
           7   -0.431205   -0.677835    0.126489
           8   -0.463713    -0.65107    0.113475
           9   -0.418837   -0.625266    0.103759
          10   -0.418945   -0.604634    0.095412
          11   -0.420559     -0.5879   0.0881935
          12   -0.450539   -0.576453   0.0815835
          13   -0.453554   -0.566999   0.0758536
          14   -0.390956   -0.554425   0.0714701
          15   -0.433367   -0.546354   0.0671596
          16   -0.441974   -0.539831   0.0632782
          17   -0.406593   -0.531993   0.0600393
          18   -0.362529   -0.522578   0.0574372
          19   -0.422465   -0.517309   0.0546553
          20   -0.388398   -0.510864   0.0523013
          21   -0.378455   -0.504559   0.0501894
          22   -0.372835   -0.498571   0.0482638
          23   -0.372716   -0.493099   0.0464746
          24   -0.375208   -0.488187    0.044797
          25   -0.376516    -0.48372   0.0432272
          26   -0.412423   -0.480978   0.0416515
          27   -0.423251    -0.47884   0.0401637
          28   -0.395674    -0.47587    0.038839
          29   -0.416974   -0.473839   0.0375527
          30   -0.375488    -0.47056   0.0364438
          31   -0.426225    -0.46913   0.0352963
          32   -0.450092   -0.468535   0.0341983
          33   -0.420668   -0.467085   0.0331927
          34    -0.40752   -0.465333   0.0322626
          35   -0.380735   -0.462916   0.0314313
          36   -0.415816   -0.461607   0.0305854
          37   -0.459027   -0.461538   0.0297588
          38   -0.434764   -0.460833    0.028984
          39   -0.404266   -0.459383   0.0282771
          40   -0.395129   -0.457776   0.0276158
          41   -0.395153   -0.456249   0.0269844
          42   -0.418467   -0.455349    0.026357
          43   -0.381355   -0.453629   0.0258001
          44   -0.375198   -0.451846   0.0252752
          45   -0.390415   -0.450481   0.0247504
          46   -0.404231   -0.449475   0.0242328
          47   -0.400983   -0.448444   0.0237391
          48    -0.42581   -0.447972   0.0232493
          49    -0.48082   -0.448643   0.0227844
          50   -0.447407   -0.448618   0.0223288
          51   -0.417487   -0.448007   0.0218993
          52   -0.338461   -0.445901   0.0215792
          53   -0.404021   -0.445111   0.0211865
          54   -0.379033   -0.443887   0.0208295
          55   -0.358307   -0.442331   0.0205088
          56   -0.393928   -0.441467   0.0201608
          57   -0.366162   -0.440145   0.0198503
          58    -0.38647    -0.43922   0.0195297
          59   -0.398888   -0.438536   0.0192106
          60   -0.434939   -0.438476   0.0188905
          61   -0.455373   -0.438753   0.0185829
          62   -0.416002   -0.438386   0.0182868
          63   -0.434375   -0.438323   0.0179966
          64   -0.454133    -0.43857   0.0177171
          65   -0.420203   -0.438287   0.0174468
          66   -0.429937   -0.438161   0.0171829
          67   -0.390981   -0.437457   0.0169409
          68   -0.386035     -0.4367   0.0167086
          69    -0.35802    -0.43556   0.0165053
          70   -0.433616   -0.435532   0.0162696
          71   -0.436291   -0.435543   0.0160404
          72   -0.395034    -0.43498   0.0158275
          73   -0.449676   -0.435182    0.015612
          74   -0.447892   -0.435353   0.0154019
          75   -0.421945   -0.435175   0.0151976
          76   -0.443663   -0.435286   0.0149981
          77   -0.453648   -0.435525   0.0148052
          78   -0.441861   -0.435606   0.0146156
          79   -0.367369   -0.434742   0.0144561
          80   -0.333234   -0.433473   0.0143309
          81   -0.385297   -0.432879   0.0141664
          82   -0.476157   -0.433406   0.0140034
          83   -0.485205   -0.434031   0.0138486
          84   -0.395431   -0.433571   0.0136914
          85   -0.355737   -0.432655   0.0135609
          86   -0.366818    -0.43189   0.0134248
          87   -0.342107   -0.430858   0.0133101
          88   -0.400557   -0.430513   0.0131633
          89   -0.377096   -0.429913   0.0130291
          90   -0.365284   -0.429195   0.0129041
          91   -0.345863   -0.428279   0.0127947
          92   -0.316039   -0.427059   0.0127137
          93   -0.361972    -0.42636   0.0125962
          94   -0.322599   -0.425256   0.0125105
          95   -0.403003   -0.425021    0.012381
          96   -0.348281   -0.424222   0.0122778
          97   -0.334532   -0.423297    0.012186
          98   -0.339578   -0.422443   0.0120916
          99   -0.395285   -0.422169   0.0119725
         100   -0.439488   -0.422342   0.0118541
