#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.49982    -1.49982           0
           2    -1.37658     -1.4382   0.0435704
           3    -1.64504    -1.50715   0.0633467
           4    -1.60618    -1.53191   0.0521244
           5     -1.5243    -1.53039   0.0417217
           6    -1.47518    -1.52118   0.0357683
           7    -1.41822    -1.50647   0.0335471
           8    -1.35655    -1.48773     0.03419
           9    -1.19519    -1.45523   0.0431597
          10    -1.12337    -1.42204   0.0500002
          11    -1.06592    -1.38967   0.0549453
          12    -1.00986    -1.35802     0.05878
          13   -0.944424     -1.3262   0.0622761
          14   -0.945572    -1.29901   0.0634857
          15   -0.882489    -1.27125   0.0650433
          16   -0.825143    -1.24337   0.0666867
          17   -0.781864    -1.21622   0.0680657
          18   -0.717902    -1.18853   0.0696872
          19   -0.679213    -1.16173   0.0709882
          20   -0.645618    -1.13592   0.0719765
          21   -0.628334    -1.11175    0.072494
          22   -0.614496    -1.08915    0.072637
          23   -0.626651    -1.06904   0.0722086
          24    -0.61994    -1.05033   0.0715835
          25   -0.621978    -1.03319    0.070741
          26   -0.677568    -1.01952   0.0693299
          27   -0.643829     -1.0056   0.0681441
          28   -0.647897   -0.992826   0.0668972
          29   -0.644233   -0.980806   0.0656614
          30   -0.638238   -0.969387    0.064458
          31   -0.584395   -0.956968   0.0635638
          32   -0.589534   -0.945485    0.062606
          33     -0.5681   -0.934049   0.0617445
          34   -0.563756   -0.923158   0.0608814
          35   -0.539221   -0.912189   0.0601221
          36   -0.548783   -0.902094   0.0592934
          37   -0.523255   -0.891855   0.0585682
          38   -0.484154   -0.881126   0.0580013
          39   -0.470527   -0.870598   0.0574617
          40   -0.472825   -0.860654   0.0568791
          41   -0.454445   -0.850746   0.0563481
          42   -0.457651   -0.841387   0.0557784
          43   -0.456606   -0.832438   0.0551943
          44   -0.442676    -0.82358   0.0546461
          45   -0.438323   -0.815019   0.0540982
          46   -0.412733   -0.806274   0.0536244
          47   -0.434343    -0.79836   0.0530641
          48   -0.438323   -0.790859   0.0524861
          49   -0.400768   -0.782898   0.0520152
          50    -0.44117   -0.776064    0.051422
          51   -0.427316   -0.769226   0.0508663
          52   -0.448866   -0.763065   0.0502598
          53    -0.46231    -0.75739   0.0496308
          54   -0.445458   -0.751614   0.0490468
          55   -0.455458   -0.746229   0.0484497
          56   -0.433304   -0.740641   0.0479057
          57   -0.443348   -0.735425   0.0473483
          58   -0.411579   -0.729842     0.04686
          59   -0.404861   -0.724334   0.0463884
          60   -0.400696    -0.71894   0.0459278
          61   -0.386428   -0.713489   0.0454972
          62   -0.376125   -0.708047   0.0450876
          63   -0.395435   -0.703085   0.0446441
          64   -0.406906   -0.698457   0.0441857
          65    -0.41099   -0.694035   0.0437267
          66   -0.442076   -0.690217   0.0432305
          67   -0.468796   -0.686913   0.0427114
          68   -0.489214   -0.684005   0.0421822
          69   -0.468236   -0.680878   0.0416866
          70   -0.467841   -0.677835    0.041202
          71   -0.477141   -0.675008   0.0407185
          72   -0.481171   -0.672316   0.0402419
          73   -0.480396   -0.669687   0.0397764
          74   -0.490172   -0.667261   0.0393128
          75   -0.492364   -0.664929   0.0388577
          76   -0.449553   -0.662095   0.0384497
          77    -0.45466   -0.659401   0.0380446
          78   -0.462139   -0.656872   0.0376408
          79   -0.432582   -0.654033   0.0372712
          80   -0.416956    -0.65107    0.036923
          81   -0.423034   -0.648254   0.0365743
          82   -0.410207   -0.645351   0.0362433
          83   -0.421308   -0.642652    0.035907
          84   -0.408152    -0.63986   0.0355879
          85   -0.444862   -0.637566   0.0352431
          86   -0.465215   -0.635562   0.0348902
          87   -0.412137   -0.632994   0.0345836
          88   -0.432323   -0.630714   0.0342657
          89    -0.40567   -0.628185   0.0339738
          90   -0.365464   -0.625266   0.0337215
          91   -0.383276   -0.622607   0.0334556
          92   -0.395808   -0.620142   0.0331827
          93   -0.421458   -0.618005   0.0328946
          94   -0.439004   -0.616101   0.0325997
          95   -0.469835   -0.614561   0.0322929
          96   -0.448369    -0.61283   0.0320029
          97   -0.419414   -0.610836    0.031735
          98   -0.407264   -0.608759   0.0314791
          99   -0.409818   -0.606749   0.0312252
         100   -0.395202   -0.604634   0.0309845
