#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.05728     2.05728           0
           2     1.98126     2.01927   0.0268775
           3     2.15338     2.06397   0.0406626
           4     2.13323     2.08129   0.0339834
           5     2.07834      2.0807   0.0271918
           6     2.04389     2.07456   0.0233417
           7     2.00734     2.06496   0.0218935
           8     1.96786     2.05282   0.0222684
           9     1.86099     2.03151   0.0282073
          10     1.81049     2.00941   0.0329256
          11     1.77339     1.98795   0.0362553
          12     1.73615     1.96697   0.0388343
          13     1.69397     1.94597   0.0411349
          14     1.69261     1.92787   0.0419892
          15     1.65269     1.90952   0.0430112
          16     1.61392     1.89105    0.044113
          17      1.5853     1.87306   0.0450355
          18     1.54272     1.85471   0.0461217
          19     1.51729     1.83695    0.046989
          20     1.49416     1.81981   0.0476631
          21     1.48304     1.80378   0.0480155
          22     1.47357     1.78877   0.0481218
          23     1.48159     1.77541    0.047847
          24     1.47744       1.763   0.0474368
          25     1.47838     1.75161   0.0468856
          26     1.51573     1.74254   0.0459517
          27     1.49326     1.73331   0.0451677
          28     1.49696     1.72487   0.0443362
          29     1.49334     1.71688   0.0435203
          30     1.49028     1.70933   0.0427201
          31     1.45461     1.70111   0.0421248
          32      1.4571     1.69349   0.0414928
          33      1.4432      1.6859   0.0409228
          34      1.4407     1.67869   0.0403497
          35     1.42399     1.67141   0.0398476
          36      1.4307     1.66473   0.0392977
          37     1.41262     1.65791   0.0388219
          38     1.38764      1.6508   0.0384462
          39     1.37862     1.64382   0.0380886
          40     1.37979     1.63722    0.037704
          41     1.36795     1.63065    0.037352
          42     1.36934     1.62443   0.0369772
          43     1.36878     1.61849   0.0365921
          44     1.35953      1.6126   0.0362307
          45     1.35739     1.60693   0.0358667
          46     1.33931     1.60111   0.0355557
          47      1.3536     1.59584    0.035187
          48     1.35726     1.59087   0.0348033
          49     1.33131     1.58558   0.0344938
          50     1.35834     1.58103    0.034102
          51     1.35008      1.5765   0.0337326
          52     1.36281     1.57239   0.0333333
          53     1.37322     1.56864   0.0329155
          54     1.36072     1.56479   0.0325304
          55     1.36824     1.56121   0.0321346
          56     1.35334      1.5575   0.0317745
          57     1.36005     1.55404   0.0314053
          58     1.33931     1.55033   0.0310813
          59     1.33442     1.54667   0.0307692
          60     1.33172     1.54309   0.0304642
          61     1.32233     1.53947    0.030179
          62     1.31496     1.53585   0.0299087
          63     1.32795     1.53255   0.0296155
          64      1.3356     1.52947   0.0293122
          65     1.33872     1.52654   0.0290077
          66     1.35799     1.52399   0.0286804
          67     1.37733      1.5218   0.0283358
          68     1.39018     1.51986   0.0279851
          69     1.37687     1.51779   0.0276561
          70     1.37625     1.51577   0.0273349
          71     1.38309      1.5139   0.0270137
          72     1.38445      1.5121   0.0266982
          73     1.38489     1.51036   0.0263893
          74     1.39136     1.50875   0.0260817
          75     1.39309     1.50721   0.0257794
          76     1.36433     1.50533   0.0255087
          77     1.36749     1.50354   0.0252401
          78     1.37301     1.50186    0.024972
          79     1.35305     1.49998   0.0247268
          80     1.34293     1.49802   0.0244955
          81     1.34658     1.49615   0.0242644
          82     1.33788     1.49422   0.0240451
          83     1.34586     1.49243   0.0238217
          84     1.33649     1.49057   0.0236104
          85     1.36076     1.48905    0.023382
          86     1.37476     1.48772   0.0231478
          87     1.34015     1.48602   0.0229438
          88     1.35242      1.4845   0.0227332
          89     1.33565     1.48283   0.0225392
          90     1.30815     1.48089   0.0223722
          91      1.3199     1.47912   0.0221962
          92     1.32824     1.47748   0.0220154
          93      1.3452     1.47606   0.0218246
          94     1.35697     1.47479   0.0216292
          95     1.37762     1.47377   0.0214257
          96     1.36371     1.47262   0.0212331
          97     1.34491     1.47131    0.021055
          98     1.33559     1.46992   0.0208857
          99      1.3379     1.46859   0.0207172
         100     1.32793     1.46718   0.0205578
