         0.5     92.2352     90.1392    0.423273
         0.6     57.2826     55.6396    0.687523
         0.7     34.1099     31.9079    0.331426
         0.8     18.1581     18.7492    0.208875
         0.9     11.7078     11.9699    0.075275
           1     8.37955      8.2262   0.0760968
         1.1     6.11085     6.08345   0.0463419
         1.2     4.90068     4.67903   0.0351958
         1.3     3.67122     3.73835   0.0150963
         1.4     3.12189     3.07617   0.0151934
         1.5     2.49518      2.5947   0.0138316
         1.6     2.21077     2.21989  0.00659404
         1.7     1.96394     1.93594  0.00862734
         1.8     1.68592      1.7068  0.00450955
         1.9      1.5534     1.52676  0.00505614
           2     1.36638     1.38009  0.00393067
