         0.5    0.213169    0.263274  0.00949943
         0.6    0.455612    0.486973   0.0055108
         0.7    0.538723    0.528073  0.00427261
         0.8    0.466929    0.501264  0.00423287
         0.9    0.445044    0.469027   0.0026062
           1    0.427066    0.438466  0.00187284
         1.1    0.417775    0.411432  0.00142942
         1.2     0.38244    0.378065  0.00133511
         1.3    0.354102    0.349901 0.000987722
         1.4    0.318294     0.32148 0.000673546
         1.5     0.29332    0.297202 0.000790623
         1.6    0.274298    0.273754 0.000676044
         1.7    0.251726    0.250383 0.000582299
         1.8    0.230774    0.231273 0.000617106
         1.9    0.213092    0.213611 0.000424859
           2    0.196954    0.197891 0.000487197
