    0.133333   0.0155347  0.00167215
         0.4    0.100698  0.00193606
    0.666667    0.251844  0.00646354
    0.933333    0.393608  0.00505454
         1.2    0.509038  0.00393677
     1.46667    0.555385  0.00784184
     1.73333    0.531094  0.00765861
           2    0.445257  0.00760568
     2.26667    0.344038  0.00713878
     2.53333    0.244076  0.00407012
         2.8    0.166757  0.00371845
     3.06667   0.0981285  0.00251065
     3.33333   0.0523715  0.00172928
         3.6   0.0224201  0.00142662
     3.86667   0.0119861  0.00163456
     4.13333  0.00426042 0.000668654
         4.4  0.00190625 0.000220011
     4.66667 0.000597222 0.000337817
     4.93333 0.000534722 0.000396113
         5.2 0.000295139 0.000279993
     5.46667 1.04167e-05 9.88212e-06
     5.73333 1.73611e-05 1.64702e-05
           6 2.08333e-05 1.97642e-05
     6.26667 5.20833e-05 4.94106e-05
     6.53333 6.94444e-05 6.58808e-05
         6.8           0           0
     7.06667           0           0
     7.33333           0           0
         7.6           0           0
     7.86667           0           0
