#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.16876     1.16876           0
           2     1.11911     1.14394   0.0175552
           3       1.129     1.13896   0.0123899
           4     1.11334     1.13255   0.0108218
           5     1.12131      1.1303  0.00888808
           6       1.101     1.12542  0.00864482
           7     1.11241     1.12356  0.00760688
           8     1.10244     1.12092  0.00709934
           9     1.07226     1.11551  0.00811256
          10     1.09386     1.11335  0.00758479
