#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.439612   -0.439612           0
           2   -0.394876   -0.417244   0.0158165
           3   -0.339415   -0.391301   0.0236616
           4   -0.334629   -0.377133    0.021575
           5   -0.348394   -0.371385   0.0180094
           6   -0.402901   -0.376638   0.0157552
           7   -0.322452   -0.368897   0.0152883
           8   -0.362033   -0.368039   0.0134013
           9   -0.316165   -0.362275   0.0130932
          10   -0.345729   -0.360621    0.011888
          11    -0.36542   -0.361057   0.0108152
          12   -0.377238   -0.362405  0.00999767
          13   -0.400515   -0.365337  0.00964884
          14   -0.342614   -0.363714  0.00909512
          15   -0.371679   -0.364245  0.00850427
          16   -0.335298   -0.362436  0.00816292
          17   -0.339844   -0.361107  0.00779017
          18   -0.338392   -0.359845   0.0074589
          19   -0.395321   -0.361712  0.00729629
          20   -0.370375   -0.362145  0.00694432
          21   -0.372388   -0.362633  0.00663075
          22   -0.358419   -0.362441  0.00633211
          23    -0.34604   -0.361728  0.00609683
          24   -0.367778    -0.36198    0.005848
          25   -0.381226    -0.36275  0.00566453
          26   -0.398091   -0.364109  0.00560737
          27   -0.343975   -0.363364  0.00544905
          28   -0.377176   -0.363857  0.00527672
          29    -0.34283   -0.363132  0.00514434
          30   -0.372619   -0.363448  0.00498257
          31   -0.406268   -0.364829  0.00500965
          32   -0.391169   -0.365653  0.00492025
          33   -0.374612   -0.365924  0.00477864
          34   -0.382278   -0.366405  0.00466224
          35   -0.371452   -0.366549  0.00453126
          36   -0.361058   -0.366397  0.00440796
          37   -0.360406   -0.366235   0.0042918
          38   -0.376857   -0.366514  0.00418795
          39   -0.401796   -0.367419  0.00417713
          40   -0.395874    -0.36813  0.00413283
          41   -0.421389   -0.369429  0.00423125
          42   -0.383302    -0.36976  0.00414338
          43   -0.331091    -0.36886  0.00414346
          44     -0.3634   -0.368736  0.00405115
          45   -0.411951   -0.369697  0.00407336
          46   -0.385491    -0.37004  0.00399925
          47   -0.352631    -0.36967  0.00393128
          48   -0.353441   -0.369331  0.00386388
          49   -0.373607   -0.369419  0.00378602
          50   -0.330193   -0.368634   0.0037907
          51   -0.345225   -0.368175  0.00374406
          52   -0.377367   -0.368352  0.00367623
          53   -0.391134   -0.368782  0.00363191
          54   -0.407348   -0.369496   0.0036342
          55   -0.388237   -0.369837  0.00358406
          56   -0.389485   -0.370188  0.00353719
          57   -0.378125   -0.370327  0.00347788
          58   -0.341884   -0.369836  0.00345231
          59   -0.400493   -0.370356  0.00343268
          60    -0.38855   -0.370659  0.00338884
          61   -0.341176   -0.370176  0.00336757
          62   -0.333611   -0.369586   0.0033645
          63   -0.418912   -0.370369  0.00340098
          64   -0.453714   -0.371671  0.00358851
          65   -0.463625   -0.373086  0.00380194
          66    -0.46973    -0.37455  0.00401643
          67   -0.430165    -0.37538  0.00404135
          68   -0.366598   -0.375251  0.00398398
          69   -0.365496    -0.37511  0.00392875
          70   -0.354714   -0.374819  0.00388341
          71   -0.363661   -0.374661   0.0038319
          72    -0.37429   -0.374656  0.00377868
          73   -0.385001   -0.374798  0.00372957
          74   -0.372017    -0.37476  0.00367936
          75   -0.357982   -0.374537   0.0036371
          76   -0.401693   -0.374894  0.00360675
          77   -0.371011   -0.374844  0.00356026
          78   -0.414475   -0.375352  0.00355069
          79   -0.464744   -0.376483  0.00368164
          80   -0.483563   -0.377822  0.00387129
          81    -0.38691   -0.377934  0.00382512
          82   -0.357061   -0.377679  0.00378694
          83   -0.391011    -0.37784  0.00374472
          84   -0.405616   -0.378171  0.00371471
          85   -0.396683   -0.378388  0.00367738
          86   -0.423576   -0.378914  0.00367197
          87   -0.391163   -0.379055  0.00363246
          88   -0.378516   -0.379049  0.00359119
          89   -0.351013   -0.378734  0.00356463
          90   -0.388919   -0.378847  0.00352682
          91   -0.417702   -0.379274  0.00351381
          92   -0.385263   -0.379339  0.00347622
          93   -0.415196   -0.379724  0.00346016
          94   -0.449327   -0.380465  0.00350168
          95   -0.435746   -0.381047  0.00351284
          96    -0.42988   -0.381555  0.00351288
          97   -0.412891   -0.381878  0.00349149
          98   -0.404661   -0.382111  0.00346359
          99   -0.367068   -0.381959  0.00343194
         100   -0.381804   -0.381957  0.00339762
