#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.35751     1.35751           0
           2     1.32786     1.34269   0.0104839
           3      1.2908     1.32539   0.0157555
           4     1.28756     1.31593   0.0143779
           5     1.29679     1.31211   0.0120014
           6     1.33317     1.31562   0.0105023
           7     1.27953     1.31046   0.0101892
           8     1.30583     1.30988  0.00893195
           9     1.27525     1.30603  0.00872929
          10     1.29501     1.30493  0.00792562
          11     1.30809     1.30522  0.00721031
          12     1.31599     1.30612   0.0066651
          13     1.33159     1.30808  0.00643406
          14       1.293       1.307  0.00606395
          15     1.31223     1.30735  0.00566971
          16     1.28813     1.30615  0.00544111
          17     1.29105     1.30526    0.005193
          18      1.2901     1.30442  0.00497236
          19     1.32784     1.30565   0.0048611
          20     1.31144     1.30594  0.00462667
          21     1.31268     1.30626  0.00441747
          22     1.30351     1.30613  0.00421845
          23     1.29527     1.30566  0.00406142
          24     1.30968     1.30583  0.00389564
          25     1.31858     1.30634  0.00377307
          26     1.33003     1.30725  0.00373639
          27     1.29387     1.30676  0.00363072
          28     1.31604     1.30709  0.00351617
          29     1.29313     1.30661  0.00342769
          30     1.31282     1.30681  0.00331968
          31     1.33531     1.30773  0.00333742
          32     1.32535     1.30828  0.00327823
          33     1.31424     1.30846  0.00318386
          34     1.31914     1.30878  0.00310566
          35     1.31212     1.30887   0.0030184
          36     1.30517     1.30877   0.0029363
          37     1.30472     1.30866  0.00285899
          38     1.31575     1.30885  0.00278984
          39     1.33237     1.30945  0.00278272
          40     1.32835     1.30992  0.00275297
          41     1.34541     1.31079  0.00281859
          42     1.32008     1.31101  0.00276014
          43     1.28525     1.31041  0.00276018
          44     1.30667     1.31033  0.00269875
          45     1.33904     1.31096  0.00271316
          46     1.32156     1.31119  0.00266393
          47      1.2996     1.31095  0.00261865
          48     1.30005     1.31072  0.00257391
          49     1.31366     1.31078  0.00252208
          50     1.28477     1.31026   0.0025247
          51     1.29471     1.30996  0.00249354
          52     1.31606     1.31007  0.00244835
          53     1.32519     1.31036  0.00241872
          54     1.33611     1.31083  0.00242049
          55     1.32333     1.31106  0.00238713
          56     1.32408     1.31129  0.00235579
          57     1.31656     1.31139  0.00231628
          58     1.29248     1.31106  0.00229916
          59     1.33148     1.31141  0.00228608
          60     1.32363     1.31161  0.00225703
          61     1.29204     1.31129  0.00224272
          62     1.28691      1.3109  0.00224076
          63     1.34356     1.31142  0.00226438
          64     1.36696     1.31228  0.00238954
          65      1.3736     1.31323  0.00253217
          66     1.37751      1.3142  0.00267458
          67     1.35127     1.31475  0.00269128
          68     1.30892     1.31467  0.00265307
          69     1.30829     1.31458  0.00261624
          70     1.30074     1.31438  0.00258632
          71     1.30697     1.31427    0.002552
          72     1.31405     1.31427  0.00251655
          73     1.32126     1.31437   0.0024839
          74     1.31265     1.31434  0.00245044
          75      1.3031     1.31419  0.00242235
          76     1.33235     1.31443  0.00240223
          77     1.31183      1.3144  0.00237127
          78      1.3407     1.31474  0.00236472
          79     1.37416     1.31549   0.0024515
          80     1.38687     1.31638  0.00257815
          81     1.32261     1.31646  0.00254746
          82     1.30251     1.31629  0.00252207
          83     1.32522     1.31639  0.00249398
          84     1.33493     1.31661  0.00247403
          85     1.32905     1.31676  0.00244925
          86     1.34688     1.31711  0.00244568
          87      1.3253     1.31721  0.00241938
          88     1.31688      1.3172  0.00239189
          89     1.29854     1.31699  0.00237419
          90     1.32366     1.31707  0.00234897
          91     1.34305     1.31735  0.00234045
          92     1.32146      1.3174  0.00231543
          93     1.34126     1.31765  0.00230471
          94     1.36401     1.31815  0.00233236
          95     1.35493     1.31853  0.00233973
          96     1.35116     1.31887  0.00233991
          97     1.33983     1.31909  0.00232574
          98     1.33431     1.31924  0.00230719
          99     1.30935     1.31914  0.00228605
         100     1.31901     1.31914  0.00226319
