3.41463 0  1
3.07987 0.334768  2
3.19146 0.223179  3
3.20755 0.158629  4
3.2172 0.123252  5
3.34767 0.16477  6
3.28609 0.15226  7
3.27306 0.132504  8
3.19221 0.142097  9
3.17087 0.128876  10
3.1534 0.117874  11
3.15577 0.10763  12
3.14215 0.0999375  13
3.16161 0.0945491  14
3.17848 0.0896222  15
3.20418 0.0876859  16
3.19092 0.0834275  17
3.1692 0.0815994  18
3.17376 0.0773198  19
3.17416 0.0733531  20
3.15122 0.0734488  21
3.1177 0.0776392  22
3.10637 0.0750468  23
3.1346 0.0771969  24
3.13649 0.0740688  25
3.16138 0.0753922  26
3.15232 0.0731102  27
3.14843 0.0705579  28
3.16055 0.0691523  29
3.17486 0.0683221  30
3.16853 0.0663836  31
3.17622 0.0647341  32
3.17864 0.0627882  33
3.19643 0.0634605  34
3.19021 0.0619339  35
3.20394 0.0617333  36
3.19617 0.0605416  37
3.18882 0.0593841  38
3.17232 0.0601478  39
3.17838 0.058937  40
3.20129 0.0618785  41
3.20637 0.0606005  42
3.19692 0.0599243  43
3.18665 0.0594402  44
3.18065 0.0584133  45
3.17491 0.0574168  46
3.17211 0.0562514  47
3.16679 0.0553236  48
3.16565 0.0541947  49
3.15948 0.0534571  50
3.15594 0.0525181  51
3.15935 0.0516111  52
3.16747 0.0512751  53
3.16911 0.0503432  54
3.16805 0.0494306  55
3.16356 0.0487471  56
3.15441 0.0487523  57
3.15249 0.0479425  58
3.14955 0.0472148  59
3.15539 0.0467873  60
3.15148 0.04618  61
3.14492 0.0458995  62
3.1413 0.0453101  63
3.14557 0.0448006  64
3.14726 0.0441385  65
3.15008 0.043556  66
3.14849 0.0429304  67
3.15007 0.0423238  68
3.15926 0.0427052  69
3.1576 0.0421232  70
3.16122 0.0416832  71
3.16593 0.0413686  72
3.16822 0.0408624  73
3.16324 0.0406124  74
3.17019 0.0406649  75
3.1646 0.0405142  76
3.16218 0.0400574  77
3.15684 0.0399005  78
3.1554 0.0394183  79
3.16201 0.0394797  80
3.17236 0.0403385  81
3.18245 0.0411021  82
3.1923 0.0417815  83
3.18763 0.0415444  84
3.18756 0.0410528  85
3.19119 0.040735  86
3.19194 0.0402709  87
3.20112 0.0408559  88
3.19862 0.0404715  89
3.19618 0.0400938  90
3.19858 0.0397234  91
3.19551 0.0394085  92
3.18852 0.0396042  93
3.19093 0.0392544  94
3.18624 0.0391215  95
3.18407 0.0387721  96
3.18481 0.0383774  97
3.18208 0.0380822  98
3.18443 0.0377687  99
3.17951 0.0377116  100
