1 1 2.15676 0.951863 22.5639 0.18776
1 1 2.15676 0.951863 22.3691 0.216837
1 1 2.08234 1.00233 20.5349 0.220545
1 1 2.06061 0.981159 19.2817 0.184805
1 1 2.06061 0.981159 19.1047 0.202637
1 1 2.01883 1.03593 18.9006 0.227079
1 1 1.92823 1.00047 15.3946 0.170319
1 1 1.97871 1.02506 17.2696 0.181703
1 1 1.99662 0.939421 16.1311 0.180013
1 1 1.99662 0.939421 15.9092 0.153549
2 0.95 1.99662 0.939421 15.799 0.164586
2 0.95 1.99662 0.939421 16.1113 0.166406
2 0.95 1.99662 0.939421 15.8414 0.133622
2 0.95 1.90058 0.871833 11.879 0.125447
2 0.95 1.87074 0.91005 11.5199 0.125587
2 0.95 1.92277 0.931377 13.5495 0.141532
2 0.95 1.92277 0.931377 13.3857 0.142819
2 0.95 1.90203 0.891463 12.2565 0.128324
2 0.95 1.99204 0.861421 14.4136 0.142116
2 0.95 1.99204 0.861421 14.2854 0.13816
3 0.9025 1.99204 0.861421 14.3958 0.131173
3 0.9025 1.95591 0.937926 15.0185 0.175875
3 0.9025 1.93291 0.931553 14.0875 0.16261
3 0.9025 1.93291 0.931553 13.957 0.150903
3 0.9025 1.88632 1.03136 14.3186 0.176445
3 0.9025 1.8362 0.989394 12.1099 0.153957
3 0.9025 1.8362 0.989394 12.2063 0.144058
3 0.9025 1.79106 1.06056 11.8523 0.133838
3 0.9025 1.79106 1.06056 12.1948 0.170177
3 0.9025 1.75945 1.11831 12.3254 0.169726
4 0.857375 1.73687 1.11325 11.6105 0.162898
4 0.857375 1.73687 1.11325 11.4363 0.154174
4 0.857375 1.73687 1.11325 11.6585 0.143603
4 0.857375 1.73687 1.11325 11.6211 0.145061
4 0.857375 1.73687 1.11325 11.6546 0.146247
4 0.857375 1.73687 1.11325 11.2981 0.13724
4 0.857375 1.73687 1.11325 11.4001 0.152661
4 0.857375 1.65632 1.01367 8.31466 0.112269
4 0.857375 1.59492 1.10402 7.972 0.137917
4 0.857375 1.50795 1.03001 5.59062 0.0863601
5 0.814506 1.50795 1.03001 5.69475 0.0924365
5 0.814506 1.54371 0.978095 5.67075 0.0883943
5 0.814506 1.53416 0.928282 5.02396 0.0745098
5 0.814506 1.58742 0.832568 5.01426 0.0640122
5 0.814506 1.62388 0.7507 4.72421 0.0660766
5 0.814506 1.54887 0.743671 3.65349 0.0490846
5 0.814506 1.57 0.800695 4.30904 0.0612043
5 0.814506 1.62518 0.70557 4.32783 0.0555983
5 0.814506 1.65011 0.620114 4.01345 0.0440818
5 0.814506 1.65011 0.620114 3.9923 0.0456276
6 0.773781 1.58762 0.569274 2.94497 0.0336925
6 0.773781 1.58762 0.569274 2.94422 0.0349312
6 0.773781 1.58762 0.569274 2.98253 0.0315493
6 0.773781 1.50293 0.543216 1.97083 0.0238896
6 0.773781 1.47988 0.536786 1.75504 0.0222499
6 0.773781 1.53091 0.450271 2.05076 0.0179748
6 0.773781 1.53091 0.450271 2.06441 0.0175368
6 0.773781 1.53091 0.450271 2.0516 0.0169445
6 0.773781 1.52144 0.421089 2.0204 0.0156106
6 0.773781 1.52144 0.421089 2.02235 0.0167545
7 0.735092 1.42271 0.41821 1.33219 0.0118335
7 0.735092 1.42419 0.362791 1.56907 0.013619
7 0.735092 1.48413 0.445497 1.70162 0.0166841
7 0.735092 1.53584 0.360252 2.37594 0.0162116
7 0.735092 1.5595 0.447121 2.32211 0.0204715
7 0.735092 1.55075 0.505923 2.27712 0.0270977
7 0.735092 1.55075 0.505923 2.30329 0.0261429
7 0.735092 1.45655 0.594978 1.79773 0.0278315
7 0.735092 1.52594 0.605794 2.50804 0.0308938
7 0.735092 1.52594 0.605794 2.43693 0.0324701
8 0.698337 1.45345 0.518684 1.53592 0.0189471
8 0.698337 1.5492 0.421821 2.23772 0.0142227
8 0.698337 1.60529 0.448211 2.79934 0.0255803
8 0.698337 1.51019 0.393946 1.99459 0.0158491
8 0.698337 1.51019 0.393946 1.98466 0.0159441
8 0.698337 1.4699 0.456284 1.5774 0.0130978
8 0.698337 1.40436 0.41521 1.2287 0.0108925
8 0.698337 1.41657 0.449786 1.26279 0.0134726
8 0.698337 1.41657 0.449786 1.25736 0.0121059
8 0.698337 1.41657 0.449786 1.22601 0.0127155
9 0.66342 1.35491 0.547947 0.940324 0.0175317
9 0.66342 1.28415 0.607396 0.659581 0.0170095
9 0.66342 1.28415 0.607396 0.673315 0.0175916
9 0.66342 1.371 0.581698 1.12213 0.0166784
9 0.66342 1.371 0.581698 1.12788 0.0198806
9 0.66342 1.43756 0.581012 1.57777 0.0231424
9 0.66342 1.43756 0.581012 1.54431 0.0231955
9 0.66342 1.43756 0.581012 1.54398 0.0226648
9 0.66342 1.46361 0.510887 1.57586 0.0170768
9 0.66342 1.44882 0.49201 1.45656 0.0168025
10 0.630249 1.4682 0.460369 1.57734 0.0150051
10 0.630249 1.4682 0.460369 1.57478 0.0154715
10 0.630249 1.38875 0.558035 1.20735 0.023233
10 0.630249 1.3559 0.472049 0.899423 0.0123928
10 0.630249 1.3635 0.491617 0.924718 0.0132382
10 0.630249 1.42181 0.511346 1.32358 0.0176634
10 0.630249 1.42181 0.511346 1.26975 0.0171575
10 0.630249 1.42181 0.511346 1.29088 0.0155956
10 0.630249 1.50119 0.504514 1.86072 0.0213045
10 0.630249 1.58184 0.584844 2.94938 0.0380214
11 0.598737 1.56291 0.584142 2.76243 0.030839
11 0.598737 1.54785 0.607598 2.65682 0.0324877
11 0.598737 1.49846 0.549172 1.95793 0.0205148
11 0.598737 1.4888 0.612102 2.13916 0.0326362
11 0.598737 1.48438 0.554361 1.93454 0.0224689
11 0.598737 1.46506 0.510882 1.59297 0.0183908
11 0.598737 1.46506 0.510882 1.57977 0.017476
11 0.598737 1.41872 0.464681 1.26641 0.0129767
11 0.598737 1.41872 0.464681 1.22875 0.0143513
11 0.598737 1.3763 0.41007 1.10161 0.0116842
12 0.5688 1.38791 0.411841 1.14643 0.0128411
12 0.5688 1.33965 0.498652 0.791939 0.0123524
